sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,8,2,0.2001,altered_knn,altered_knn,100000,200000,0.7523,0.8683,0.8441,0.3750,0.2888,0.3263,0.5973
ddim,8,2,0.2001,polar3,polar,100000,300000,0.8788,0.9892,0.9243,0.9960,0.4377,0.6081,0.7987
ddim,8,4,0.0689,knn,knn,2000,12000,0.6770,0.7171,0.6934,0.5636,0.1349,0.2177,0.4674
ddim,8,4,0.0689,altered_knn,altered_knn,2000,8000,0.7897,0.8314,0.8401,0.1686,0.2270,0.1935,0.5124
ddim,8,4,0.0689,polar3,polar,2000,12000,0.9366,0.9670,0.9526,0.8918,0.5257,0.6615,0.8143
ddim,8,4,0.0689,knn,knn,5000,30000,0.6982,0.7371,0.7144,0.6512,0.1733,0.2738,0.5054
ddim,8,4,0.0689,altered_knn,altered_knn,5000,20000,0.7598,0.7872,0.8348,0.1505,0.3894,0.2171,0.5022
ddim,8,4,0.0689,polar3,polar,5000,30000,0.9337,0.9662,0.9507,0.8930,0.4960,0.6378,0.8020
ddim,8,4,0.0689,knn,knn,10000,60000,0.7180,0.7581,0.7344,0.6864,0.1762,0.2804,0.5193
ddim,8,4,0.0689,altered_knn,altered_knn,10000,40000,0.8067,0.8523,0.8516,0.1840,0.1914,0.1876,0.5199
ddim,8,4,0.0689,polar3,polar,10000,60000,0.9347,0.9664,0.9510,0.9089,0.5062,0.6502,0.8083
ddim,8,4,0.0689,knn,knn,20000,120000,0.7312,0.7712,0.7476,0.7479,0.1914,0.3048,0.5380
ddim,8,4,0.0689,altered_knn,altered_knn,20000,80000,0.8170,0.8663,0.8574,0.1917,0.1508,0.1688,0.5176
ddim,8,4,0.0689,polar3,polar,20000,120000,0.9353,0.9672,0.9515,0.9218,0.5040,0.6517,0.8095
ddim,8,4,0.0689,knn,knn,50000,300000,0.7463,0.7852,0.7617,0.7801,0.2212,0.3446,0.5649
ddim,8,4,0.0689,altered_knn,altered_knn,50000,200000,0.8231,0.8725,0.8639,0.1985,0.1566,0.1751,0.5238
ddim,8,4,0.0689,polar3,polar,50000,300000,0.9360,0.9678,0.9524,0.9150,0.5076,0.6530,0.8104
ddim,8,4,0.0689,knn,knn,100000,600000,0.7629,0.8030,0.7791,0.7907,0.2219,0.3465,0.5748
ddim,8,4,0.0689,altered_knn,altered_knn,100000,400000,0.8331,0.8826,0.8723,0.2268,0.1646,0.1908,0.5367
ddim,8,4,0.0689,polar3,polar,100000,600000,0.9366,0.9678,0.9530,0.9057,0.5156,0.6571,0.8124
ddim,8,8,0.0344,knn,knn,2000,24000,0.6110,0.6240,0.6241,0.2131,0.2456,0.2282,0.4261
ddim,8,8,0.0344,altered_knn,altered_knn,2000,16000,0.8034,0.8289,0.8210,0.1502,0.0887,0.1115,0.4702
ddim,8,8,0.0344,polar3,polar,2000,24000,0.9267,0.9415,0.9368,0.6673,0.5102,0.5783,0.7599
ddim,8,8,0.0344,knn,knn,5000,60000,0.6438,0.6571,0.6553,0.2713,0.2733,0.2723,0.4647
ddim,8,8,0.0344,altered_knn,altered_knn,5000,40000,0.8001,0.8229,0.8233,0.1425,0.1628,0.1520,0.4874
ddim,8,8,0.0344,polar3,polar,5000,60000,0.9295,0.9446,0.9390,0.7229,0.5044,0.5942,0.7694
ddim,8,8,0.0344,knn,knn,10000,120000,0.6605,0.6731,0.6714,0.2989,0.3067,0.3027,0.4879
ddim,8,8,0.0344,altered_knn,altered_knn,10000,80000,0.8063,0.8298,0.8282,0.1464,0.1468,0.1466,0.4882
ddim,8,8,0.0344,polar3,polar,10000,120000,0.9327,0.9481,0.9421,0.7451,0.5015,0.5995,0.7738
ddim,8,8,0.0344,knn,knn,20000,240000,0.6835,0.6971,0.6954,0.3108,0.3009,0.3058,0.5014
ddim,8,8,0.0344,altered_knn,altered_knn,20000,160000,0.8147,0.8422,0.8293,0.1887,0.0436,0.0708,0.4565
ddim,8,8,0.0344,polar3,polar,20000,240000,0.9335,0.9487,0.9428,0.7410,0.5073,0.6022,0.7755
ddim,8,8,0.0344,knn,knn,50000,600000,0.7114,0.7258,0.7215,0.3768,0.3067,0.3381,0.5320
ddim,8,8,0.0344,altered_knn,altered_knn,50000,400000,0.8236,0.8477,0.8455,0.1551,0.1468,0.1509,0.4993
ddim,8,8,0.0344,polar3,polar,50000,600000,0.9348,0.9505,0.9447,0.7194,0.4956,0.5869,0.7687
ddim,8,8,0.0344,knn,knn,100000,1200000,0.7280,0.7420,0.7378,0.4129,0.3343,0.3695,0.5558
ddim,8,8,0.0344,altered_knn,altered_knn,100000,800000,0.8335,0.8592,0.8515,0.1912,0.1134,0.1423,0.5008
ddim,8,8,0.0344,polar3,polar,100000,1200000,0.9353,0.9509,0.9449,0.7308,0.4971,0.5917,0.7713
ddim,8,16,0.0388,knn,knn,2000,48000,0.5207,0.5321,0.5376,0.1296,0.2397,0.1682,0.3502
ddim,8,16,0.0388,altered_knn,altered_knn,2000,32000,0.7476,0.7665,0.7787,0.1362,0.2771,0.1827,0.4746
ddim,8,16,0.0388,polar3,polar,2000,48000,0.9060,0.9280,0.9167,0.6189,0.3621,0.4569,0.6925
ddim,8,16,0.0388,knn,knn,5000,120000,0.5580,0.5696,0.5735,0.1611,0.2719,0.2023,0.3860
ddim,8,16,0.0388,altered_knn,altered_knn,5000,80000,0.7743,0.7996,0.7929,0.1686,0.1469,0.1570,0.4783
ddim,8,16,0.0388,polar3,polar,5000,120000,0.9090,0.9320,0.9201,0.6174,0.3389,0.4376,0.6848
ddim,8,16,0.0388,knn,knn,10000,240000,0.5902,0.6028,0.6041,0.1847,0.2771,0.2216,0.4122
ddim,8,16,0.0388,altered_knn,altered_knn,10000,160000,0.7727,0.7976,0.7926,0.1493,0.1534,0.1513,0.4745
